,单词,中文释义,音标,学期,单元
463,bus driver,公共汽车司机,[bʌs 'draɪvə]],四年级上册,Unit6
464,kid,小孩,[kɪd],四年级上册,Unit6
465,so,如此；很；所以,[səʊ],四年级上册,Unit6
466,fire,火；火灾,['faɪə],四年级上册,Unit6
467,people,人；人们,['piːp(ə)l],四年级上册,Unit6
468,job,工作；职业,[dʒɒb],四年级上册,Unit6
469,play with,玩……,[pleɪ    wɪð ],四年级上册,Unit6
470,school,学校,[skuːl],四年级上册,Unit7
471,office,办公室,['ɒfɪs],四年级上册,Unit7
472,busy,忙碌的；繁忙的,['bɪzɪ],四年级上册,Unit7
